AS_cluster_name	name	bin	length	contig_edge	completeness	contamination	N50	size	P_final	C_final	O_final	F_final	G_final	S_final	P_gtdb	C_gtdb	O_gtdb	F_gtdb	G_gtdb	S_gtdb	phylum	class	order	family	genus	species	final_product	coverage	distance
c01364_contig_...region001	contig_21539:1.0-22114.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	13135	True	NA	NA	NA	NA	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	not classified	not classified	terpene	7.17091319052988	868
c00198_contig_...region001	contig_5759:1.0-682530.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40612	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	not classified	not classified	not classified	T3PKS	8.60760137653976	1084
c00149_contig_...region001	contig_14176:1.0-48610.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20216	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	terpene	11.3240735024796	879
c01002_contig_...region001	contig_37552:1.0-70414.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	21065	False	NA	NA	NA	NA	Actinobacteriota	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	not classified	not classified	not classified	not classified	not classified	terpene	23.9161203539823	1021
c00756_contig_...region001	contig_6958:6.0-140176.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20687	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	not classified	not classified	terpene	11.7268905175842	670
c01339_contig_...region001	contig_33566:1.0-123702.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.90	41050	False	71.38	8.119	154264	2890032	Actinobacteriota	Acidimicrobiia	Microtrichales	UBA8139	not classified	not classified	Actinobacteriota	Acidimicrobiia	Microtrichales	UBA8139	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	other	30.9054244353067	1565
c00800_contig_...region002	contig_18877:1.0-428555.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.32	41083	False	57.81	0.054	209003	2417905	Actinobacteriota	Actinobacteria	Actinomycetales	Kineococcaceae	not classified	not classified	Actinobacteriota	Actinobacteria	Actinomycetales	Kineococcaceae	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	T3PKS	18.5677761855133	1450
c00873_contig_...region001	contig_60461:1.0-25294.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10786	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Delftia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Delftia	not classified	bacteriocin	19.4069019917176	270
c00594_contig_...region001	contig_60148:1.0-32247.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10308	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	terpene	6.36991090211608	437
c00558_contig_...region001	contig_580:1.0-84493.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	21067	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	terpene	25.5644286338979	1109
c01299_contig_...region001_1	contig_19433:1.0-89237.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	24300	False	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	terpene	4.70557052909402	916
c00069_contig_...region001	contig_22131:1.0-190820.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.65	26264	False	72.05	1.851	586113	2534155	Armatimonadota	Fimbriimonadia	Fimbriimonadales	not classified	not classified	not classified	Armatimonadota	Fimbriimonadia	Fimbriimonadales	not classified	not classified	not classified	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	not classified	not classified	lassopeptide	8.85237861184025	1332
c00133_contig_...region001_1	contig_27213:1.0-67053.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20926	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	GCA-002050365 sp002050365	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	GCA-002050365 sp002050365	terpene	8.33836088051627	930
c01559_contig_...region001	contig_452:1.0-150528.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	63021	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	NRPS	10.3912312519029	1716
c00576_contig_...region001_1	contig_3042:1.0-72918.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10921	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	bacteriocin	10.6562702695243	356
c00496_contig_...region001	contig_6676:1.0-66956.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10783	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	not classified	bacteriocin	7.50378569847244	580
c01185_contig_...region001	contig_21342:2.0-216204.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	24926	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	not classified	not classified	lassopeptide	10.2078459409594	481
c01310_contig_...region001	contig_2148:1.0-2658156.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.71	54575	False	85.17	4.109	1218759	8778864	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	not classified	not classified	NRPS_PKS_hybrid	11.365884961835	1714
c00364_contig_...region001	contig_43689:1.0-130302.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	43408	False	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	arylpolyene	4.56082053008508	1784
c00567_contig_...region001	contig_18604:1.0-111038.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20654	False	NA	NA	NA	NA	Patescibacteria	Saccharimonadia	Saccharimonadales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Patescibacteria	Saccharimonadia	Saccharimonadales	not classified	not classified	not classified	terpene	7.56710393541877	477
c00864_contig_...region001	contig_18952:1.0-3694.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	3647	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	LAP	1.29723060049356	413
c01367_contig_...region002	contig_546:1.0-1846315.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.34	11653	False	95.54	1.143	990805	6904799	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001705835	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001705835	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	not classified	siderophore	22.1849365503175	756
c00520_contig_...region001	contig_41507:1.0-309341.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.39	23173	False	58.47	1.258	131058	3519389	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	terpene	8.66904685882364	912
c00300_contig_...region001	contig_14337:1.0-299574.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	11050	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	2-12-FULL-66-21	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	2-12-FULL-66-21	not classified	not classified	bacteriocin	10.7548864974944	731
c00780_contig_...region001_1	contig_20919:1.0-33464.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10531	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Fen-336	Fen-336	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Fen-336	Fen-336	not classified	not classified	bacteriocin	7.14746227709191	356
c00111_contig_...region001	contig_59594:1.0-10255.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10285	True	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	not classified	not classified	terpene	4.50024307243559	635
c01544_contig_...region001	contig_33805:1.0-214666.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.23	20942	False	51.75	1.756	138434	3430048	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	terpene	6.83566209281571	973
c00433_contig_...region001	contig_53386:1.0-26723.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	26784	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	3.97718787335723	791
c01123_contig_...region001	contig_9376:1.0-120552.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.90	45419	True	71.38	8.119	154264	2890032	Actinobacteriota	Acidimicrobiia	Microtrichales	UBA8139	not classified	not classified	Actinobacteriota	Acidimicrobiia	Microtrichales	UBA8139	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	NRPS	23.8794743284372	1491
c00748_contig_...region001	contig_44187:1.0-100565.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	76468	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	not classified	not classified	NRPS	6.53903273650843	748
c01790_contig_...region001	contig_52767:1.0-51422.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20669	False	NA	NA	NA	NA	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	not classified	not classified	not classified	terpene	5.34491343649456	834
c00685_contig_...region001	contig_1874:1.0-109872.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	43921	False	NA	NA	NA	NA	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	not classified	not classified	arylpolyene	11.1557379281545	1462
c01379_contig_...region001_1	contig_26448:1.0-19735.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	16408	True	NA	NA	NA	NA	Actinobacteriota	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	not classified	not classified	not classified	not classified	not classified	terpene	8.21274564004624	781
c01049_contig_...region001	contig_4937:1.0-100924.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	80685	False	NA	NA	NA	NA	Bacteroidota	Bacteroidia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Bacteroidota	Bacteroidia	not classified	not classified	not classified	not classified	NRPS_hybrid	9.46114056129752	1796
c00780_contig_...region001	contig_46642:1.0-137172.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40402	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	arylpolyene	6.4887799509055	1582
c01715_contig_...region001	contig_36136:1.0-212568.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	58884	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	NRPS_hybrid	14.8934237038018	1535
c01309_contig_...region001_1	contig_23551:1.0-172380.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40504	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Fen-336	Fen-336	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Fen-336	Fen-336	not classified	not classified	T3PKS	9.51592474674385	1563
c00326_contig_...region001	contig_48447:1.0-23002.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23085	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	3.77795105046567	376
c01478_contig_...region001	contig_11571:1.0-50009.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	15735	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	betalactone	5.24870074271719	930
c01155_contig_...region001_1	contig_11232:1.0-42501.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	21284	False	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	terpene	9.16344489676523	709
c01065_contig_...region001	contig_9316:1.0-163329.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.97	43285	False	62.26	2.469	214573	2403008	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	arylpolyene	11.5303639266641	1834
c01173_contig_...region001	contig_40058:1.0-32718.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	32476	True	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	hglE-KS	7.43609687652513	1213
c00127_contig_...region001	contig_6296:1.0-185487.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	24409	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	not classified	betalactone	17.6172909734893	940
c00298_contig_...region001	contig_18307:1.0-53683.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	15037	True	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	not classified	not classified	lassopeptide	7.6777224277499	499
c01381_contig_...region001_2	contig_4498:1.0-367074.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.16	31022	True	56.84	9.277	115990	5053858	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter_B	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter_B	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	NRPS	14.7553144014019	999
c00124_contig_...region001	contig_482:1.0-162279.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.90	31747	False	71.38	8.119	154264	2890032	Actinobacteriota	Acidimicrobiia	Microtrichales	UBA8139	not classified	not classified	Actinobacteriota	Acidimicrobiia	Microtrichales	UBA8139	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	betalactone	30.3681520523878	1408
c00818_contig_...region001_1	contig_16835:1.0-60771.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.51	22414	True	85.24	0.963	145839	6557706	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	not classified	NRPS-like	22.898046116904	1102
c01354_contig_...region001	contig_2153:1.0-50201.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	41416	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	NRPS-like	17.2533907172329	901
c01245_contig_...region001	contig_13324:1.0-554127.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.83	21793	False	73.35	0	579837	2680250	Gemmatimonadota	Gemmatimonadetes	not classified	not classified	not classified	not classified	Gemmatimonadota	Gemmatimonadetes	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	terpene	22.4648992401718	1212
c00029_contig_...region001	contig_3196:1.0-1180145.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.92	26233	False	92.66	3.703	976633	2741384	Armatimonadota	Fimbriimonadia	Fimbriimonadales	not classified	not classified	not classified	Armatimonadota	Fimbriimonadia	Fimbriimonadales	not classified	not classified	not classified	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	not classified	not classified	lassopeptide	18.1648791556773	1581
c00372_contig_...region001	contig_36768:1.0-174314.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10910	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	bacteriocin	13.088900871341	395
c00182_contig_...region001	contig_4109:1.0-72908.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	72552	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	4.91819660381519	1766
c00089_contig_...region001	contig_2443:1.0-83456.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	68426	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	NRPS	16.4327383804504	1746
c00318_contig_...region001	contig_10330:1.0-409572.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20657	False	NA	NA	NA	NA	Planctomycetota	Phycisphaerae	UBA1161	UBA1161	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Planctomycetota	Phycisphaerae	UBA1161	UBA1161	not classified	not classified	terpene	7.03905353020708	620
c00539_contig_...region001	contig_48734:1.0-68061.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	18554	True	NA	NA	NA	NA	Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	Gp7-AA8	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	Gp7-AA8	not classified	not classified	terpene	4.83815255220418	562
c01241_contig_...region001_2	contig_35610:1.0-77314.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	21500	False	NA	NA	NA	NA	Chloroflexota_A	Ellin6529	P2-11E	P2-11E	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Chloroflexota_A	Ellin6529	P2-11E	P2-11E	not classified	not classified	indole	25.8100067960045	1010
c01383_contig_...region001	contig_44981:1.0-109185.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	29817	True	NA	NA	NA	NA	Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	Gp7-AA8	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	Gp7-AA8	not classified	not classified	arylpolyene	5.48825165260998	1374
c01310_contig_...region003	contig_2148:1.0-2658156.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.71	40924	False	85.17	4.109	1218759	8778864	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	not classified	not classified	T3PKS	11.365884961835	1142
c01185_contig_...region001_1	contig_13262:1.0-64052.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20840	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	not classified	not classified	terpene	4.95361194215906	1000
c01007_contig_...region001	contig_15038:1.0-94956.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	21185	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	terpene	6.288071278826	910
c01537_contig_...region001	contig_13662:1.0-187840.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23513	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	IlumatobacterA	IlumatobacterA sp002698945	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	IlumatobacterA	IlumatobacterA sp002698945	terpene	29.8445763856036	1054
c00007_contig_...region001_1	contig_1798:1.0-51456.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	45571	True	NA	NA	NA	NA	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	not classified	not classified	NRPS	8.96129408335762	762
c01768_contig_...region001_1	contig_31837:1.0-51290.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12535	True	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	not classified	terpene	4.33204443746565	502
c00310_contig_...region002	contig_14347:1.0-44044.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	22698	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	terpene	32.7549343594387	925
c00586_contig_...region001_1	contig_14628:1.0-24735.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10528	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	not classified	not classified	bacteriocin	7.32286325648997	512
c00485_contig_...region001	contig_6660:24058.0-289063.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.51	11431	False	85.24	0.963	145839	6557706	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	not classified	siderophore	19.0628036933622	529
c01177_contig_...region001_1	contig_378:1.0-662672.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20690	False	NA	NA	NA	NA	Patescibacteria	Saccharimonadia	Saccharimonadales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Patescibacteria	Saccharimonadia	Saccharimonadales	not classified	not classified	not classified	terpene	9.44172430213837	494
c00819_contig_...region001_1	contig_7029:1.0-337344.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	61120	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	acyl_amino_acids	11.458544834262	1481
c00960_contig_...region001	contig_9200:1.0-77301.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	39310	True	NA	NA	NA	NA	Chloroflexota_A	Ellin6529	CSP1-4	CSP1-4	UBA5189	UBA5189 sp002413045	not classified	not classified	not classified	not classified	not classified	not classified	Chloroflexota_A	Ellin6529	CSP1-4	CSP1-4	UBA5189	UBA5189 sp002413045	arylpolyene	6.49433650695358	1490
